Josef Fruehwald, 21, m, w, 15, Philadelphia, 2006

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
UW	1	DO	448.5	1206.7	2434.2	64.4	189.8	569.0	1440.611	1440.603	1440.673	0.07	73	0	0	0	3	0			448.2	1199.4	447.8	1167.1	445.4	1152.9	444.5	1166.8	450.3	1178.8	5
OW	1	NO	541.0	1477.6	3034.4	167.4	207.4	322.6	1442.108	1442.094	1442.174	0.08	63	0	0	0	4	0			538.6	1498.2	545.3	1455.8	548.5	1430.4	556.7	1410.3	556.3	1365.7	4
AO	2	ALRIGHT	606.8	1244.0	2458.9	83.1	89.0	609.0	1445.474	1445.457	1445.507	0.05	53	5	4	2	0	1			617.6	1265.7	604.7	1239.4	593.5	1219.2	581.1	1205.7	571.4	1201.7	3
AA	1	STENOGRAPHY	629.5	1195.1	2660.2	186.9	143.7	589.9	1456.086	1456.046	1456.166	0.12	5	1	6	2	4	2			585.0	1242.6	632.7	1195.6	659.1	1219.8	591.9	1209.7	603.9	1218.4	3
AE	1	HAPPEN	671.3	1519.9	1995.8	56.5	165.9	1099.1	1485.878	1485.851	1485.931	0.08	3	1	1	1	0	1			701.6	1543.9	669.6	1518.8	670.8	1450.2	683.1	1452.3	674.2	1524.1	6
AA	1	LOT	714.2	1183.3	2411.1	119.3	108.8	904.9	1486.288	1486.261	1486.341	0.08	5	1	4	1	7	0			702.7	1151.0	714.4	1186.2	711.0	1208.0	694.1	1220.7	693.5	1228.3	3
ER	0	WERE	414.8	1449.0	2361.3	61.6	129.1	649.6	1486.83	1486.807	1486.877	0.07	94	0	0	0	9	0			421.1	1483.7	414.0	1444.8	412.9	1468.0	431.2	1490.4	426.3	1449.6	5
AH	1	YOUNGEST	540.1	1172.1	1819.6	210.7	296.3	1070.3	1487.03	1486.987	1487.117	0.13	6	4	6	2	9	4			484.8	1234.7	535.3	1165.0	460.3	1148.7	464.0	1136.4	413.2	1115.9	6
AH	0	MHM	410.7	1117.2	1821.7	147.3	187.0	455.4	1542.076	1542.059	1542.109	0.05	6	4	1	2	0	4			401.2	1129.6	412.1	1115.2	412.5	1100.9	400.5	1111.6	387.7	1135.3	6
AH	0	HM	398.9	1293.7	2267.9	178.3	258.7	556.6	1553.258	1553.231	1553.311	0.08	6	4	1	2	0	0			398.8	1312.5	398.4	1292.4	391.8	1259.8	405.6	1279.5	418.1	1428.5	5
AH	0	CAUSE	467.0	1493.9	2322.5	48.0	64.2	573.8	1565.654	1565.627	1565.707	0.08	6	3	4	2	6	0			473.3	1500.7	466.3	1494.3	462.0	1488.1	454.1	1489.2	451.7	1523.6	5
IH	0	BECAUSE	438.8	1692.1	2375.3	145.7	172.2	202.0	1565.82	1565.797	1565.867	0.07	1	1	6	1	1	1			419.2	1645.3	440.4	1710.4	426.4	1803.4	399.5	1877.3	413.3	1881.3	6
AH	1	BECAUSE	456.5	1510.5	2426.4	80.5	123.6	426.4	1565.947	1565.897	1566.046	0.149	6	3	4	2	6	0			466.4	1533.8	453.8	1506.8	411.5	1485.9	412.1	1487.8	381.4	1582.6	5
IH	1	DID	381.7	1728.7	2394.4	86.6	156.5	467.8	1572.842	1572.822	1572.882	0.06	1	1	4	2	3	0			425.9	1701.6	379.5	1730.5	383.7	1726.7	399.1	1705.2	413.4	1705.9	5
ER	0	EVER	469.2	1613.4	2802.4	127.4	110.1	1662.5	1573.125	1573.102	1573.172	0.07	94	0	0	0	1	0			460.2	1631.3	471.3	1612.2	476.8	1635.0	491.8	1708.6	604.5	1865.1	4
ER	1	TURN	557.4	1489.9	1892.9	81.1	176.5	164.2	1573.255	1573.212	1573.342	0.13	94	4	4	2	3	0			559.0	1534.6	557.9	1489.3	529.0	1480.2	466.7	1339.7	447.7	1232.3	6
AW	1	AROUND	674.0	1654.6	2787.5	107.0	178.3	1245.6	1573.445	1573.412	1573.562	0.15	42	4	4	2	7	0			670.6	1650.1	685.7	1658.9	688.9	1664.3	631.2	1477.8	673.8	1201.6	4
ER	0	OR	439.3	1518.7	1905.0	57.5	79.5	354.5	1573.755	1573.702	1573.862	0.16	94	0	0	0	0	0			470.5	1487.4	439.8	1516.7	474.1	1538.7	454.1	1534.9	440.0	1557.5	5
AW	1	WOW	601.1	1390.8	2265.1	73.6	115.6	1263.7	1585.08	1585.072	1585.142	0.07	42	0	0	0	9	0			598.8	1388.9	581.6	1380.3	577.0	1362.5	582.2	1272.3	583.3	1172.5	6
AE	1	YEAH	562.5	1797.6	2874.4	449.6	195.7	923.5	1588.344	1588.321	1588.391	0.07	3	0	0	0	9	0			528.5	1790.4	565.3	1801.1	548.7	1781.1	508.2	1767.1	579.9	1775.3	4
OW	1	OKAY	492.3	1143.2	2003.2	168.1	231.1	359.5	1621.361	1621.336	1621.486	0.15	62	1	6	1	0	1			487.0	1147.9	508.0	1112.1	461.6	1065.9	442.5	1089.5	397.5	1144.6	6
AH	0	YOU	420.2	1542.7	1877.8	119.1	255.1	785.6	1634.224	1634.204	1634.264	0.06	6	0	0	0	9	0			432.7	1558.1	418.5	1541.8	414.0	1545.4	412.6	1533.6	415.5	1547.4	6
OW	1	SPOKEN	452.7	1089.1	2146.8	117.2	85.0	860.6	1634.423	1634.414	1634.554	0.14	62	1	6	1	1	1			450.4	1022.4	450.8	953.4	444.5	913.1	433.0	876.3	470.1	893.4	6
AH	0	ANOTHER	558.1	1522.8	3392.8	173.7	204.6	590.1	1635.111	1635.094	1635.144	0.05	6	4	4	2	0	2			597.4	1517.5	554.0	1526.0	548.0	1540.6	526.1	1562.6	505.0	1579.5	4
AH	1	ANOTHER	588.2	1323.2	2994.2	147.2	254.8	778.4	1635.207	1635.174	1635.274	0.1	6	3	3	2	4	1			608.5	1339.0	581.2	1319.3	571.9	1305.5	578.2	1279.9	568.1	1200.0	5
AH	0	LANGUAGE	450.9	1456.3	2266.4	94.3	433.7	343.7	1635.594	1635.574	1635.634	0.06	6	2	5	2	9	0			448.8	1319.0	450.8	1468.1	448.5	1509.5	446.0	1512.2	423.3	1443.7	6
AO	1	OR	478.3	1028.7	1872.3	238.4	299.3	158.4	1636.959	1636.916	1637.046	0.13	64	6	4	2	0	0			479.1	1127.4	480.7	1031.0	445.8	1046.6	441.5	1057.5	449.0	1023.9	3
OW	1	OKAY	620.8	1541.7	2354.1	199.2	346.7	563.3	1660.762	1660.755	1660.805	0.05	62	1	6	1	0	1			620.8	1541.7	598.5	1536.9	571.0	1547.9	532.9	1551.5	517.4	1563.6	5
UW	1	TO	444.9	1417.2	2447.1	59.5	201.0	538.2	1662.229	1662.221	1662.291	0.07	73	0	0	0	3	0			443.5	1415.4	445.9	1423.4	452.4	1448.5	454.1	1498.9	457.2	1493.5	5
AA	1	COLLEGE	659.2	1195.4	2194.1	81.4	263.7	1393.7	1662.391	1662.341	1662.491	0.15	5	5	4	2	6	1			615.1	1245.8	669.0	1184.9	686.1	1113.3	610.6	1078.1	578.3	1041.4	3
OW	1	OH	632.0	1131.8	1961.2	75.6	123.1	728.4	1663.721	1663.695	1663.895	0.2	63	0	0	0	0	0			620.3	1125.6	595.4	1062.9	489.8	1073.2	441.6	1110.5	463.1	1130.9	6
OW	1	OKAY	444.7	1065.6	1795.2	105.2	151.5	240.9	1666.477	1666.47	1666.53	0.06	62	1	6	1	0	1			444.7	1065.6	436.4	1038.0	419.3	1036.7	414.1	1035.0	443.2	1057.9	6
EY	1	OKAY	560.2	1447.9	2531.3	100.2	304.0	665.6	1666.617	1666.6	1666.66	0.06	22	0	0	0	6	0			554.8	1438.0	557.5	1458.4	538.1	1479.8	524.5	1468.3	530.1	1431.4	5
OW	1	OH	618.2	1083.9	2019.2	236.5	226.6	1036.7	1669.209	1669.178	1669.348	0.17	63	0	0	0	0	0			627.8	1059.7	756.8	1002.5	594.5	989.4	583.4	1050.1	532.8	1070.6	6
AW	1	WOW	661.0	1309.5	2170.3	192.5	250.2	975.9	1690.456	1690.449	1690.509	0.06	42	0	0	0	9	0			661.0	1309.5	646.4	1329.8	621.2	1337.8	629.4	1345.7	640.9	1345.8	5
AW	1	WOW	572.0	1278.2	2099.3	142.7	289.6	562.2	1691.627	1691.598	1691.788	0.19	42	0	0	0	9	0			573.8	1367.7	599.2	1460.6	559.9	1475.2	592.7	1175.9	553.0	1107.0	6
IH	1	FIFTEEN	429.3	1618.7	2442.3	84.8	301.5	876.8	1700.521	1700.504	1700.554	0.05	1	3	2	1	1	4			426.7	1629.6	430.5	1614.6	444.6	1576.5	453.9	1551.5	454.5	1544.0	5
IY	2	FIFTEEN	449.4	2347.4	3799.6	415.1	147.9	403.1	1700.741	1700.724	1700.774	0.05	11	4	4	2	3	0			534.5	2443.3	450.4	2349.5	450.9	2350.1	440.0	2326.6	430.3	2310.4	3
AW	1	WOW	498.6	1186.6	2103.7	141.6	607.2	498.0	1702.819	1702.792	1702.902	0.11	42	0	0	0	9	0			502.2	1195.2	501.0	1157.7	518.6	1204.2	551.2	1222.3	589.3	1179.9	5
AW	1	WOW	572.9	1289.1	2049.7	232.2	244.4	729.2	1705.932	1705.911	1706.021	0.11	42	0	0	0	9	0			575.9	1288.3	551.0	1259.5	495.1	1199.0	495.4	1127.7	474.8	1136.2	5
IH	1	DID	328.2	1899.9	2994.6	195.3	133.7	1126.1	1706.917	1706.88	1706.99	0.11	1	1	4	2	3	0			357.1	1854.9	327.5	1902.0	319.3	1915.9	316.3	2028.3	325.0	2017.2	4
IY	1	HE	432.8	2109.1	3205.4	705.2	212.8	959.4	1707.373	1707.35	1707.42	0.07	12	0	0	0	0	0			415.7	2113.8	438.3	2108.2	427.3	2069.0	413.3	2058.1	422.6	2043.8	4
OW	1	PROPOSE	481.8	1135.4	2074.7	112.7	95.8	346.1	1707.627	1707.62	1707.79	0.17	62	3	4	2	1	0			426.0	1109.5	402.5	1114.1	383.6	1058.0	406.7	1010.4	440.2	1148.4	6
ER	0	OR	442.2	1711.3	3567.0	109.0	132.3	467.0	1708.623	1708.5	1708.87	0.37	94	0	0	0	0	0			522.3	1556.4	432.5	1683.4	462.1	1651.6	540.0	1715.0	445.3	1581.4	4
AW	1	WOW	544.8	1327.6	2620.5	146.4	235.8	2352.8	1736.173	1736.148	1736.278	0.13	42	0	0	0	9	0			545.1	1329.2	565.1	1373.1	548.7	1345.6	510.8	1244.9	521.7	1240.7	5
AW	1	WOW	580.7	1211.0	2322.2	88.2	169.8	212.9	1755.196	1755.182	1755.342	0.16	42	0	0	0	9	0			601.9	1201.3	574.5	1274.9	536.2	1291.6	525.2	973.1	514.1	1030.2	6
AH	1	HUH	472.7	1338.6	1929.4	124.6	563.7	69.7	1767.084	1767.051	1767.151	0.1	6	0	0	0	0	0			497.0	1370.0	471.3	1323.8	491.7	1311.5	500.8	1457.7	490.8	1501.1	6
AW	1	WOW	536.1	1307.8	2658.4	124.8	166.2	591.0	1774.083	1774.076	1774.166	0.09	42	0	0	0	9	0			526.6	1296.2	502.6	1299.4	487.8	1313.3	478.4	1335.5	489.4	1366.9	5
AE	1	YEAH	467.0	1643.0	2661.3	71.8	231.4	684.3	1776.573	1776.536	1776.646	0.11	3	0	0	0	9	0			462.6	1698.9	467.4	1638.5	480.6	1632.6	533.9	1716.0	585.2	1789.4	4
EY	1	GREAT	505.9	1887.0	2415.6	108.5	143.6	147.9	1778.733	1778.695	1778.775	0.08	21	1	4	1	8	0			476.3	1835.0	501.1	1863.7	505.3	1889.9	478.3	1841.6	450.7	1801.5	3
OW	1	SO	539.6	1313.8	3195.6	358.4	610.6	264.4	1778.887	1778.875	1778.925	0.05	63	0	0	0	3	0			539.6	1313.8	546.4	1264.0	575.9	1222.6	630.8	1211.3	671.7	1201.2	4
AO	1	LONG	607.6	1059.1	2859.1	131.6	105.8	465.8	1779.045	1779.015	1779.105	0.09	53	4	6	2	7	0			574.3	1058.0	611.7	1063.4	608.4	1098.2	610.3	1092.3	671.9	1054.3	3
EH	1	MARRIED	594.2	1653.9	2767.0	189.4	231.8	923.5	1779.592	1779.565	1779.645	0.08	2	6	4	2	2	1			578.8	1669.6	593.0	1650.9	536.1	1611.0	529.8	1646.8	554.0	1657.9	5
ER	0	FOR	403.8	1178.8	1879.9	36.6	171.0	229.7	1779.952	1779.935	1779.985	0.05	94	0	0	0	8	0			398.1	1162.1	404.9	1183.9	413.3	1233.8	430.8	1307.6	447.2	1320.3	6
AE	1	THAT'S	557.5	1763.5	3605.8	107.2	1254.5	313.4	1783.096	1783.079	1783.129	0.05	3	1	4	1	3	3			563.5	1780.2	556.9	1754.1	561.6	1581.7	575.9	1694.4	592.3	1874.0	4
EY	1	A	792.1	2145.5		1307.9	1027.7		1783.231	1783.219	1783.279	0.06	22	0	0	0	0	0			792.1	2145.5	646.8	2224.7	543.5	2353.5	551.1	2294.4	667.5	2107.6	3
AW	1	WOW	639.4	1362.6	2967.6	209.8	290.2	309.7	1784.452	1784.41	1784.58	0.17	42	0	0	0	9	0			606.4	1410.9	553.0	1488.3	611.5	1466.8	658.4	1425.7	576.2	1324.1	4
EY	1	GREAT	451.7	1615.1	1956.8	44.0	94.5	1075.2	1786.92	1786.907	1787.007	0.1	21	1	4	1	8	0			447.0	1644.3	442.6	1642.4	441.4	1647.5	437.6	1630.8	435.6	1605.8	3
AH	1	UH	497.3	1257.1	2858.9	185.7	189.4	1947.8	1789.977	1789.95	1790.03	0.08	6	0	0	0	0	0			527.7	1224.7	495.2	1260.9	487.0	1284.2	503.1	1282.6	508.5	1258.8	5
AH	1	HUH	509.0	1199.0	2807.3	151.0	135.8	673.7	1790.137	1790.11	1790.19	0.08	6	0	0	0	0	0			494.4	1214.6	508.6	1198.4	497.4	1189.2	511.2	1176.1	507.5	1195.2	5
AW	1	NOW	542.5	1260.6	2999.7	81.5	83.5	130.0	1794.683	1794.646	1794.846	0.2	42	0	0	0	4	0			537.8	1249.9	652.9	1074.9	532.9	1071.4	570.6	1120.7	553.9	1144.6	5
AW	1	NOW	571.8	1439.9	3095.8	117.9	223.2	112.0	1794.934	1794.916	1795.026	0.11	42	0	0	0	4	0			590.5	1418.6	671.8	1287.7	607.3	1209.1	609.9	1162.2	711.1	1105.9	4
AH	1	SOME	597.8	900.1	2801.3	373.6	167.7	329.5	1795.209	1795.156	1795.316	0.16	6	4	1	2	3	0			572.4	1024.3	602.6	901.6	533.0	995.3	561.3	855.2	606.5	884.9	5
AH	1	SOME	476.9	1156.4	2778.3	125.6	127.5	307.0	1795.469	1795.426	1795.556	0.13	6	4	1	2	3	0			536.1	1255.8	465.8	1145.7	421.8	1129.1	447.5	1141.6	510.0	1188.9	5
EY	1	SAY	553.2	1571.9	2960.2	177.6	107.1	1075.9	1795.936	1795.866	1796.186	0.32	22	0	0	0	3	0			545.4	1545.7	469.3	1746.4	379.9	1764.4	412.6	1782.0	368.3	1600.9	5
OW	1	KNOW	491.9	1336.7	1612.7	70.8	183.5	977.4	1796.34	1796.306	1796.456	0.15	63	0	0	0	4	0			488.1	1356.1	516.7	1266.3	537.9	1217.2	617.2	1187.4	614.5	1034.9	6
IH	1	IF	427.3	1714.8	2511.1	102.8	399.3	687.1	1796.543	1796.526	1796.576	0.05	1	3	2	1	0	0			424.2	1691.3	426.9	1717.8	417.4	1731.3	408.1	1702.0	405.2	1669.7	5
UW	1	YOU	405.4	1593.5	2380.9	99.5	371.3	740.8	1796.793	1796.776	1796.826	0.05	82	0	0	0	9	0			408.3	1667.1	406.6	1580.0	432.8	1498.4	460.3	1473.2	472.1	1519.3	5
IH	1	GET	470.6	1926.5	3026.4	135.8	195.4	429.3	1796.999	1796.966	1797.066	0.1	1	1	4	1	6	0			449.0	2053.7	470.6	1904.0	456.7	1812.8	463.3	1772.3	515.3	1732.8	4
EH	1	MARRIED	571.6	1979.2	3339.8	627.1	592.4	145.1	1797.216	1797.156	1797.336	0.18	2	6	4	2	2	1			371.0	1723.8	595.9	2000.3	570.3	1854.4	533.7	1850.4	524.5	1880.5	3
IY	0	MARRIED	413.5	2043.9	3317.9	208.8	333.2	1793.3	1797.403	1797.386	1797.436	0.05	11	1	4	2	7	0			434.6	1984.5	409.3	2046.6	388.0	2031.5	360.7	1993.2	358.4	1968.3	4
AH	1	WHAT	459.6	1106.8	2599.9	68.7	173.3	385.8	1799.793	1799.77	1799.84	0.07	6	1	4	1	9	0			472.7	1136.6	460.5	1105.9	479.8	1120.2	506.3	1136.8	499.4	1157.7	5
AO	1	THOUGHTS	446.2	1156.5	2718.3	36.0	119.4	884.6	1800.16	1800.14	1800.2	0.06	53	1	4	1	3	3			448.2	1118.3	446.2	1160.0	446.9	1195.9	449.5	1233.3	449.3	1265.0	3
OW	1	OKAY	371.7	1127.3	2175.6	186.6	440.1	459.5	1843.965	1843.954	1844.014	0.06	62	1	6	1	0	1			371.7	1127.3	381.3	1104.9	369.2	1105.5	360.6	1131.3	358.1	1176.9	6
AH	0	GOOD	412.0	1582.6	2335.6	78.8	159.4	287.5	1846.766	1846.749	1846.799	0.05	6	1	4	2	6	0			416.2	1592.8	411.4	1579.9	404.3	1572.8	394.5	1566.2	391.5	1556.1	5
AY	1	ADVICE	499.4	1387.0	1985.0	56.1	160.4	1170.7	1846.978	1846.969	1847.019	0.05	47	3	4	1	1	0		m	499.2	1389.2	495.0	1410.8	485.8	1422.8	475.9	1434.8	467.0	1449.9	6
AE	1	THANK	616.7	1535.0	2443.0	177.1	147.9	420.3	1849.964	1849.917	1850.057	0.14	3	4	6	2	3	3			616.9	1487.5	622.4	1547.7	613.3	1665.0	591.8	1678.6	547.4	1619.4	5
UW	1	YOU	422.9	1365.4	1881.9	85.9	247.7	539.9	1850.19	1850.157	1850.257	0.1	82	0	0	0	9	0			404.9	1358.5	423.6	1367.0	416.4	1380.3	442.2	1372.9	441.9	1311.7	6
AE	1	THANK	560.6	1626.2	2281.9	129.6	168.7	888.7	1850.727	1850.707	1850.767	0.06	3	4	6	2	3	3			564.2	1588.5	559.7	1629.1	549.9	1635.4	529.4	1662.4	495.4	1587.5	6
UW	1	YOU	444.3	1221.2	1811.1	243.0	352.1	479.3	1850.934	1850.917	1850.967	0.05	82	0	0	0	9	0			440.8	1290.7	445.0	1210.8	443.2	1199.6	434.0	1193.3	426.6	1182.2	6
AA	1	PROBABLY	710.2	1166.2	2371.7	259.4	61.6	223.7	1852.886	1852.849	1852.959	0.11	5	1	1	2	8	1			681.2	1194.6	710.8	1161.7	686.6	1107.1	683.0	1134.2	663.9	1123.4	3
IY	0	BE	449.7	2032.4	3677.3	497.0	290.1	548.9	1853.112	1853.089	1853.159	0.07	12	0	0	0	1	0			422.4	2045.2	459.7	2032.9	505.6	2056.0	511.3	2005.7	509.2	1903.8	3
AE	1	BACK	636.0	1511.0	2622.1	58.2	196.0	210.7	1853.246	1853.209	1853.319	0.11	3	1	6	1	1	0			613.0	1528.7	637.7	1511.4	656.1	1576.5	670.1	1621.5	627.2	1659.9	5
AH	1	SOME	541.1	1057.3	1965.4	202.6	200.7	1401.1	1853.552	1853.529	1853.599	0.07	6	4	1	2	3	0			541.4	1095.3	543.1	1055.6	557.0	1059.9	541.3	1037.1	475.7	1031.7	6
